,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
1,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q11399,outgoing,[]
2,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P1731,http://www.wikidata.org/entity/Q223166,outgoing,[]
3,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q506278,outgoing,[]
4,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q60,outgoing,[]
5,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
6,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
7,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q183,outgoing,[]
8,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
9,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P412,http://www.wikidata.org/entity/Q6983813,outgoing,[]
10,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/Q12199,outgoing,[]
11,http://www.wikidata.org/entity/Q57774,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q15635230,outgoing,[]
3,http://www.wikidata.org/entity/Q20072092,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
1,http://www.wikidata.org/entity/Q20072367,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q21186673,outgoing,[]
3,http://www.wikidata.org/entity/Q20072367,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
1,http://www.wikidata.org/entity/Q16035376,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
2,http://www.wikidata.org/entity/Q16035376,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7366,outgoing,[]
0,http://www.wikidata.org/entity/Q3053829,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q187760,outgoing,[]
4,http://www.wikidata.org/entity/Q3053829,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
5,http://www.wikidata.org/entity/Q3053829,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q222910,outgoing,[]
0,http://www.wikidata.org/entity/Q15488363,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q187760,outgoing,[]
1,http://www.wikidata.org/entity/Q15488363,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q188450,outgoing,[]
5,http://www.wikidata.org/entity/Q15488363,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
6,http://www.wikidata.org/entity/Q15488363,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q209939,outgoing,[]
0,http://www.wikidata.org/entity/Q3460120,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q187760,outgoing,[]
3,http://www.wikidata.org/entity/Q3460120,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
4,http://www.wikidata.org/entity/Q3460120,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
0,http://www.wikidata.org/entity/Q3484697,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q187760,outgoing,[]
4,http://www.wikidata.org/entity/Q3484697,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q202585,outgoing,[]
5,http://www.wikidata.org/entity/Q3484697,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
2,http://www.wikidata.org/entity/Q3459742,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q482994,outgoing,[]
